id,league,year,year_id,Name,Statistic,Statistic Value,Team,Top 25
1,American Association,1882,1,Jack Gleason,Base on Balls,27,St. Louis,Top 25
2,American Association,1882,2,Pete Browning,Batting Average,.378,Louisville,Top 25
3,American Association,1882,3,Mike Mansell,Doubles,18,Pittsburgh,Top 25
4,American Association,1882,4,Ed Swartwood,Doubles,18,Pittsburgh,Top 25
5,American Association,1882,5,Hick Carpenter,Hits,120,Cincinnati,Top 25
6,American Association,1882,6,Oscar Walker,Home Runs,7,St. Louis,Top 25
7,American Association,1882,7,Pete Browning,On Base Percentage,.430,Louisville,Top 25
8,American Association,1882,8,Data Not Kept,RBI,n/a,n/a,n/a
9,American Association,1882,9,Ed Swartwood,Runs,86,Pittsburgh,Top 25
10,American Association,1882,10,Pete Browning,Slugging Average,.510,Louisville,Top 25
11,American Association,1882,11,Ed Swartwood,Total Bases,159,Pittsburgh,Top 25
12,American Association,1882,12,Mike Mansell,Triples,16,Pittsburgh,Top 25
13,American Association,1883,1,Ecky Stearns,Base on Balls,34,Baltimore,Top 25
14,American Association,1883,2,Ed Swartwood,Batting Average,.357,Pittsburgh,Top 25
15,American Association,1883,3,Harry Stovey,Doubles,31,Philadelphia,Top 25
16,American Association,1883,4,Ed Swartwood,Hits,147,Pittsburgh,Top 25
17,American Association,1883,5,Harry Stovey,Home Runs,14,Philadelphia,Top 25
18,American Association,1883,6,Ed Swartwood,On Base Percentage,.394,Pittsburgh,Top 25
19,American Association,1883,7,Data Not Kept,RBI,n/a,n/a,n/a
20,American Association,1883,8,Harry Stovey,Runs,110,Philadelphia,Top 25
21,American Association,1883,9,Harry Stovey,Slugging Average,.506,Philadelphia,Top 25
22,American Association,1883,10,Harry Stovey,Total Bases,213,Philadelphia,Top 25
23,American Association,1883,11,Pop Smith,Triples,17,Columbus,Top 25
24,American Association,1884,1,Candy Nelson,Base on Balls,74,New York,Top 25
25,American Association,1884,2,Dave Orr,Batting Average,.354,New York,Top 25
26,American Association,1884,3,Sam Barkley,Doubles,39,Toledo,Top 25
27,American Association,1884,4,Dave Orr,Hits,162,New York,Top 25
28,American Association,1884,5,John Reilly,Home Runs,11,Cincinnati,Top 25
29,American Association,1884,6,Charley Jones,On Base Percentage,.376,Cincinnati,Top 25
30,American Association,1884,7,Data Not Kept,RBI,n/a,n/a,n/a
31,American Association,1884,8,Harry Stovey,Runs,124,Philadelphia,Top 25
32,American Association,1884,9,John Reilly,Slugging Average,.551,Cincinnati,Top 25
33,American Association,1884,10,Dave Orr,Total Bases,247,New York,Top 25
34,American Association,1884,11,John Reilly,Total Bases,247,Cincinnati,Top 25
35,American Association,1884,12,Harry Stovey,Triples,23,Philadelphia,Top 25
