id,league,year,type,h2_index,para_index,title,paragraph
1,American Association,1882,h1,,,1882 AMERICAN ASSOCIATION,
2,American Association,1882,h2,1,1,Off the field,"Congress adopted the ""Chinese Exclusion Act"" which prohibited the immigration of Chinese laborers into the United States for ten years. It was the first major restriction on immigration in the U.S. and stated ""Whereas, in the opinion of the Government of the United States, the coming of Chinese laborers to this country endangers the good order of certain localities within the territory."""
3,American Association,1882,h2,2,1,In the National League,"For the first time, teams in the National League were permitted to wear colored uniforms. Although the league would not mandate what colors were used, they later determined all stocking colors for the following season."
4,American Association,1882,h2,2,2,In the National League,The Chicago White Stockings set a Major League record after scoring a 35-4 win over the Cleveland Blues. Outfielder-turned pitcher Dave Rowe surrendered twenty-nine hits (including ten doubles and seven walks) in his only appearance on the mound.
5,American Association,1882,h2,3,1,In the American Association,"Ambidextrous Tony Mullane of the Louisville Eclipse pitched right AND left handed during a July 18th, 9-8 loss to the Baltimore Orioles."
6,American Association,1882,h2,3,2,In the American Association,The Cincinnati Red Stockings executed a rare triple play — three times in the season — thanks to pitcher Will White who was on the mound for two of them.
7,American Association,1882,h2,3,3,In the American Association,"In December, the American Association became the first league to hire full-time umpires."
8,American Association,1883,h1,,,1883 AMERICAN ASSOCIATION,
9,American Association,1883,h2,1,1,Off the Field,"U.S. Congress created the Civil Service Commission to oversee the hiring for all Government civilian jobs. The service assisted in filling positions in a wide variety of professional, technical, clerical, craft and other occupations. Several years later, it underwent a complete reform by President Theodore Roosevelt who held the ideal that the Government should be the great arbiter of the conflicting economic forces in the Nation, especially between capital and labor, guaranteeing justice to each and dispensing favors to none."
10,American Association,1883,h2,2,1,In the National League,"The National League regulated stockings for the first time as Boston wore red, Buffalo; gray, Chicago; white, Cleveland; blue, Providence; light blue, Detroit; brown, Philadelphia; blue and white checks and New York; crimson and black."
11,American Association,1883,h2,2,2,In the National League,"Charles ""Old Hoss"" Radbourn tossed an 8-0 no-hitter against the Cleveland Blues on July 25th. Radbourn was one of the most dominant pitchers of his day winning thirty-one in 1882, forty-nine in 1883 and an incredible sixty games in 1884 (including twenty-six out of the final twenty-seven)."
12,American Association,1883,h2,2,3,In the National League,"Hugh Daily, a one armed pitcher for Cleveland, threw a 1-0 no-hitter against Philadelphia on September 13th. Known as ""One Arm"", Daily pitched six seasons in the Major Leagues compiling a 73-87 record."
13,American Association,1883,h2,3,1,In the American Association,"During the pre-season, the American Association and National League agreed to terms of peace including a promise not to raid players from each other's league."
