id,league,year,year_id,Name,Statistic,Statistic Value,Team,Top 25
1,American Association,1882,1,Will White,Complete Games,52,Cincinnati,Top 25
2,American Association,1882,2,Denny Driscoll,ERA,1.21,Pittsburgh,Top 25
3,American Association,1882,3,Tony Mullane,Games,55,Louisville,Top 25
4,American Association,1882,4,Eddie Fusselback,Saves,1,St. Louis,n/a
5,American Association,1882,5,Will White,Shutouts,8,Cincinnati,Top 25
6,American Association,1882,6,Tony Mullane,Strikeouts,170,Louisville,Top 25
7,American Association,1882,7,Will White,Winning Percentage,.769,Cincinnati,Top 25
8,American Association,1882,8,Will White,Wins,40,Cincinnati,Top 25
9,American Association,1883,1,Tim Keefe,Complete Games,68,New York,Top 25
10,American Association,1883,2,Will White,ERA,2.09,Cincinnati,Top 25
11,American Association,1883,3,Tim Keefe,Games,68,New York,Top 25
12,American Association,1883,4,Bob Barr,Saves,1,Pittsburgh,n/a
13,American Association,1883,5,Tony Mullane,Saves,1,St. Louis,n/a
14,American Association,1883,6,Jumbo McGinnis,Shutouts,6,St. Louis,Top 25
15,American Association,1883,7,Will White,Shutouts,6,Cincinnati,Top 25
16,American Association,1883,8,Tim Keefe,Strikeouts,359,New York,Top 25
17,American Association,1883,9,Tony Mullane,Winning Percentage,.700,St. Louis,Top 25
18,American Association,1883,10,Will White,Wins,43,Cincinnati,Top 25
19,American Association,1884,1,Guy Hecker,Complete Games,72,Louisville,Top 25
20,American Association,1884,2,Guy Hecker,ERA,1.80,Louisville,Top 25
21,American Association,1884,3,Guy Hecker,Games,75,Louisville,Top 25
22,American Association,1884,4,Oyster Burns,Saves,1,Baltimore,n/a
23,American Association,1884,5,Frank Mountain,Saves,1,Columbus,n/a
24,American Association,1884,6,Hank O'Day,Saves,1,Toledo,n/a
25,American Association,1884,7,Tony Mullane,Shutouts,7,Toledo,Top 25
26,American Association,1884,8,Will White,Shutouts,7,Cincinnati,Top 25
27,American Association,1884,9,Guy Hecker,Strikeouts,385,Louisville,Top 25
28,American Association,1884,10,Tip O'Neill,Winning Percentage,.733,St. Louis,Top 25
29,American Association,1884,11,Guy Hecker,Wins,52,Louisville,Top 25
30,American Association,1885,1,Ed Morris,Complete Games,63,Pittsburgh,Top 25
31,American Association,1885,2,Bob Caruthers,ERA,2.07,St. Louis,Top 25
32,American Association,1885,3,Ed Morris,Games,63,Pittsburgh,Top 25
33,American Association,1885,4,Oyster Burns,Saves,3,Baltimore,Top 25
34,American Association,1885,5,Ed Morris,Shutouts,7,Pittsburgh,Top 25
