league,year,title,quote
American Association,1882,1882 AMERICAN ASSOCIATION,"""(Pete) Browning suffered from mastoiditis, which left him almost completely deaf. Mastoiditis, the bacterial infection of the skull's mastoid bone, is often a complication of acute otitis media, or middle ear infection."" - American Academy of Otolaryngology"
American Association,1883,1883 AMERICAN ASSOCIATION,"""(John) Reilly was one of the major league American Association's stars, and he played his entire career in his hometown of Cincinnati. A smooth-fielding, 6'3"" first baseman, Long John tied for the AA lead with eleven home runs in 1884 and led with thirteen HR and one-hundred three RBI in 1888."" - Professor / Historian Duane A. Smith"
American Association,1884,1884 AMERICAN ASSOCIATION,"""David Orr, the old-time baseball player who covered first base for the Columbus American Association team in 1880, and later for the Brooklyn Nationals, died suddenly of heart disease Wednesday night at the home of his niece, Mrs. Harry Britton, in Richmond Hill."" - New York Times Obituary. 4 June 1919."
American Association,1885,1885 AMERICAN ASSOCIATION,"""Wounds of a knife that was plunged into Big Ed Morris's chest during a fight at a fish fry given in his honor Monday night caused the death of the veteran pitcher for the Boston Red Sox here today."" - New York Times (March 4, 1932)"
American Association,1886,1886 AMERICAN ASSOCIATION,"""Although Mr. Larkin played baseball when the rules of the game were vastly different from those of today, he professed recently not to see much difference."" - New York Times Obituary (February 2, 1942)"
American Association,1887,1887 AMERICAN ASSOCIATION,"""Paul Revere Radford, one of baseball's oldtime great batters, died last night. He played with clubs in the old American Association and National League including Boston, New York, Cleveland, Washington, Providence and Buffalo."" - New York Times Obituary (February 24, 1944)"
American Association,1888,1888 AMERICAN ASSOCIATION,"""Paul Revere Radford, one of baseball's oldtime great batters, died last night. He played with clubs in the old American Association and National League including Boston, New York, Cleveland, Washington, Providence and Buffalo."" - New York Times Obituary (February 24, 1944)"
American Association,1889,1889 AMERICAN ASSOCIATION,"""Gentlemanly and articulate in an age when few ballplayers were, he played as (Harry) Stovey rather than Stowe (his real name) so that his mother would not see his name in box scores."" - Jack Kavanagh"
American Association,1890,1890 AMERICAN ASSOCIATION,"""C. Scott Stratton, pitcher in the previous century who hurled 15 straight victories for the Louisville American Association team in 1890, died of a heart attack at Louisville, Ky., March 8."" - The Sporting News Obituary (March 8, 1939)"
American Association,1891,1891 AMERICAN ASSOCIATION,"""I found it (being deaf since birth) no handicap. I could feel the tiniest foul tip and when on the bases I had my own secret way of knowing when a batter made a foul tip. The yelling of the opposition was useless as far as I was concerned."" - Dummy Hoy"
American League,1901,1901 AMERICAN LEAGUE,"""Second baseman Napoleon Lajoie was one of the most graceful performers of his or any era."" - National Baseball Hall of Fame"
American League,1902,1902 AMERICAN LEAGUE,"""A good umpire is the umpire you don't even notice."" - Ban Johnson"
American League,1903,1903 AMERICAN LEAGUE,"""(Nap Lajoie) wasn't what I would call a good manager. 'Bout all he'd say was, 'Let's go out and get those so-and-so's today.' He knew he could do his share, but it didn't help the younger fellows much."" - George Stovall"
American League,1904,1904 AMERICAN LEAGUE,"""Jack Chesbro was an early spitball ace whose 1904 performance with the New York Highlanders still rates five stars. He started 51 games, completed 48 and was the victor in 41 while hurling 454 innings."" - National Baseball Hall of Fame"
American League,1905,1905 AMERICAN LEAGUE,"""A tremendous clutch-hurler, Chief Bender was usually Connie Mack's choice for the game he had to win."" - National Baseball Hall of Fame"
American League,1906,1906 AMERICAN LEAGUE,"""An aggressive, confident and cocky second baseman, he (Eddie Collins) was also an outstanding baserunner."" - National Baseball Hall of Fame"
American League,1907,1907 AMERICAN LEAGUE,"""Boys, I just couldn't help it. It (drugs) drove me to it."" - Chick Stahl (Last spoken words & news at the time said he and his wife were drug addicts - source: The Cultural Encyclopedia of Baseball)"
American League,1908,1908 AMERICAN LEAGUE,"""All us Youngs could throw. I used to kill squirrels with a stone when I was a kid, and my granddad once killed a turkey buzzard on the fly with a rock."" - Cy Young"
American League,1909,1909 AMERICAN LEAGUE,"""Every time I hear of this guy (Ty Cobb) again, I wonder how he was possible."" - Joe DiMaggio"
American League,1910,1910 AMERICAN LEAGUE,"""The game of baseball is a clean, straight game, and it summons to its presence everybody who enjoys clean, straight athletics."" - President Taft"
American League,1911,1911 AMERICAN LEAGUE,"""The making or amassing of money was not part of Ban Johnson's life. He lived for the American League and the game of baseball."" - Branch Rickey"
American League,1912,1912 AMERICAN LEAGUE,"""One of them (the Tigers replacement players [see fast facts]) was Joe Maharg, a name when read backwards gives the real name Graham, a gambler and preliminary fighter who later was a go-between in the Black Sox scandal."" - Historian Fred Lieb"
American League,1913,1913 AMERICAN LEAGUE,"""How do they know what (Walter) Johnson's got? Nobody's seen it yet."" - Grantland Rice"
American League,1914,1914 AMERICAN LEAGUE,"""He (Ty Cobb) has assured president Navin of the Tigers that he will sign a contract for next year."" - New York Times (January 18, 1914)"
American League,1915,1915 AMERICAN LEAGUE,"""The longest home run ever witnessed at the local American League park."" - The Sporting Life (1915)"
American League,1916,1916 AMERICAN LEAGUE,"""We had one left-hander by the name of Dutch Leonard. Ever hear of him? Ol' Dutch had a peculiar ball. It wasn't a slider, it wasn't a slow curve, it was something."" - Eddie Wells"
American League,1917,1917 AMERICAN LEAGUE,"""Even then, on his biggest day in baseball, (Ernie) Shore's solid accomplishment was overshadowed by the Babe's (Ruth) personality."" - Robert W. Creamer in Babe : The Legend Comes To Life (1974)"
American League,1918,1918 AMERICAN LEAGUE,"""No thanks."" - Eddie Plank, who won three-hundred twenty-six games, and refused to report to the Yankees prior to the 1918 season"
American League,1919,1919 AMERICAN LEAGUE,"""I have pitched the best ball of my life, but I am not winning. The team (Red Sox) just doesn't win when I'm pitching, so I'm going home to Pennsylvania."" - Carl Mays (July 12, 1919)"
American League,1920,1920 AMERICAN LEAGUE,"""I'd play for half my salary if I could hit in this dump (Wrigley Field) all the time."" - Babe Ruth"
American League,1921,1921 AMERICAN LEAGUE,"""I guess that will learn Ban Johnson he can't frame an honest bunch of ballplayers."" - Chick Gandil"
American League,1922,1922 AMERICAN LEAGUE,"""They (the fans) can boo and hoot me all they want. That doesn't bother me, but when a fan calls insulting names from the grandstand and becomes abusive I don't intend to stand for it. This fellow today (May 25, 1922) `called me a 'low-down bum' and other names that got me mad."" - Babe Ruth"
American League,1923,1923 AMERICAN LEAGUE,"""I'm going to break it up (September 4, 1923 Sam Jones no-hitter) if I can."" - Chick Galloway (who bunted and was thrown out with two outs during the ninth inning)"
American League,1924,1924 AMERICAN LEAGUE,"""The good Lord just couldn't bear to see a fine fellow like Walter Johnson lose again."" - Jack Bentley"
American League,1925,1925 AMERICAN LEAGUE,"""It seems funny that it (being benched on May 6, 1925) should happen the day after we win and I make two hits. Not that I care about the record (most consecutive games played). When I passed the one-thousand mark, I lost interest in the matter."" - Everett Scott"
American League,1926,1926 AMERICAN LEAGUE,"""His (Walter Johnson) fastball looked about the size of a watermelon seed and it hissed at you as it passed."" - Ty Cobb"
American League,1927,1927 AMERICAN LEAGUE,"""Sixty, count 'em, sixty. Let's see some son-of-a-bitch match that."" - Babe Ruth on September 30, 1927"
American League,1928,1928 AMERICAN LEAGUE,"""Never again will I be an active player. I'm just baseball tired and want to quit."" - Ty Cobb on September 17, 1928"
American League,1929,1929 AMERICAN LEAGUE,"""I have always wanted to pitch in the World Series Mr. Mack. There is one great game left in this old arm."" - Howard Ehmke"
American League,1930,1930 AMERICAN LEAGUE,"""You'll (Waite Hoyt) pitch the way I tell you to or you won't pitch for me at all (Hoyt was traded on May 30, 1930)."" - Yankee Manager Bob Shawkey"
American League,1931,1931 AMERICAN LEAGUE,"""I went in and tore the clubhouse up - wrecked the place, tore those stall lockers off the wall and everything else (after ending his 16 game winning streak on August 23, 1931 with a loss to St. Louis)."" - Lefty Grove"
American League,1932,1932 AMERICAN LEAGUE,"""I believe the greatest team I ever saw was the 1932 Yankees."" - Hall of Famer Billy Herman"
American League,1933,1933 AMERICAN LEAGUE,"""I'm not a headline guy. I know that as long as I was following (Babe) Ruth to the plate I could have stood on my head and no one would have known the difference."" - Lou Gehrig"
American League,1934,1934 AMERICAN LEAGUE,"""Whatever Lou (Gehrig) does in the future doesn't count. He has had fourteen great seasons, and I mean great. If I could have only ten of them, I'd be satisfied."" - Lou Gehrig"
American League,1935,1935 AMERICAN LEAGUE,"""Don't know it all. Give the other fellow credit for a little knowledge."" - Lefty Grove"
American League,1936,1936 AMERICAN LEAGUE,"""I don't know whether I signed him, or he (Bob Feller) signed me."" - Cleveland Indians' President Alva Bradley"
American League,1937,1937 AMERICAN LEAGUE,"""The next pitch (on May 25, 1937) was a fastball that sailed high and inside and it struck him (Mickey Cochrane) on the left side of the head. It made a sickening thud and it dropped straight off his head on to the plate. He dropped to the ground like he'd been shot."" - Bill Dickey"
