id,league,year,year_id,Batting Average,On-Base Percentage,Slugging Percentage,Statistic,Statistic Value,TB,Team,Total At Bats,Total Caught Stealings,Total Doubles,Total Games,Total Hits,Total Home Runs,Total Runs,Total Runs Batted In,Total Stolen Bases,Total Strikeouts,Total Triples,Total Walks
1,American Association,1882,1,,,,Base on Balls,128,,Louisville,,,,,,,,,,,,
2,American Association,1882,2,,,,Batting Average,.264,,Cincinnati,,,,,,,,,,,,
3,American Association,1882,3,,,,Doubles,110,,Louisville,,,,,,,,,,,,
4,American Association,1882,4,,,,Doubles,110,,Pittsburgh,,,,,,,,,,,,
5,American Association,1882,5,,,,Hits,795,,Cincinnati,,,,,,,,,,,,
6,American Association,1882,6,,,,Home Runs,18,,Pittsburgh,,,,,,,,,,,,
7,American Association,1882,7,,,,On Base Percentage,.292,,Louisville,,,,,,,,,,,,
8,American Association,1882,8,,,,Runs,489,,Cincinnati,,,,,,,,,,,,
9,American Association,1882,9,,,,Slugging Average,.348,,Pittsburgh,,,,,,,,,,,,
10,American Association,1883,1,,,,Base on Balls,200,,Philadelphia,,,,,,,,,,,,
11,American Association,1883,2,,,,Batting Average,.262,,Philadelphia,,,,,,,,,,,,
12,American Association,1883,3,,,,Doubles,149,,Philadelphia,,,,,,,,,,,,
13,American Association,1883,4,,,,Hits,974,,Philadelphia,,,,,,,,,,,,
14,American Association,1883,5,,,,Home Runs,34,,Cincinnati,,,,,,,,,,,,
15,American Association,1883,6,,,,On Base Percentage,.300,,Philadelphia,,,,,,,,,,,,
16,American Association,1883,7,,,,Runs,720,,Philadelphia,,,,,,,,,,,,
17,American Association,1883,8,,,,Slugging Average,.363,,Cincinnati,,,,,,,,,,,,
18,American Association,1884,1,,,,Base on Balls,211,,Baltimore,,,,,,,,,,,,
19,American Association,1884,2,,,,Batting Average,.267,,Philadelphia,,,,,,,,,,,,
20,American Association,1884,3,,,,Doubles,167,,Philadelphia,,,,,,,,,,,,
21,American Association,1884,4,,,,Hits,"1,057",,Philadelphia,,,,,,,,,,,,
22,American Association,1884,5,,,,Home Runs,40,,Columbus,,,,,,,,,,,,
23,American Association,1884,6,,,,On Base Percentage,.304,,New York,,,,,,,,,,,,
24,American Association,1884,7,,,,Runs,754,,Cincinnati,,,,,,,,,,,,
25,American Association,1884,8,,,,Slugging Average,.379,,Philadelphia,,,,,,,,,,,,
26,American Association,1885,1,,,,Base on Balls,279,,Baltimore,,,,,,,,,,,,
27,American Association,1885,2,,,,Batting Average,.265,,Philadelphia,,,,,,,,,,,,
28,American Association,1885,3,,,,Doubles,169,,Philadelphia,,,,,,,,,,,,
29,American Association,1885,4,,,,Hits,"1,099",,Philadelphia,,,,,,,,,,,,
30,American Association,1885,5,,,,Home Runs,30,,Philadelphia,,,,,,,,,,,,
31,American Association,1885,6,,,,On Base Percentage,.310,,Philadelphia,,,,,,,,,,,,
32,American Association,1885,7,,,,Runs,764,,Philadelphia,,,,,,,,,,,,
33,American Association,1885,8,,,,Slugging Average,.365,,Philadelphia,,,,,,,,,,,,
34,American Association,1886,1,,,,Base on Balls,478,,Pittsburgh,,,,,,,,,,,,
35,American Association,1886,2,,,,Batting Average,.273,,St. Louis,,,,,,,,,,,,
36,American Association,1886,3,,,,Doubles,206,,St. Louis,,,,,,,,,,,,
37,American Association,1886,4,,,,Hits,"1,365",,St. Louis,,,,,,,,,,,,
38,American Association,1886,5,,,,Home Runs,45,,Cincinnati,,,,,,,,,,,,
39,American Association,1886,6,,,,On Base Percentage,.333,,St. Louis,,,,,,,,,,,,
40,American Association,1886,7,,,,Runs,944,,St. Louis,,,,,,,,,,,,
41,American Association,1886,8,,,,Slugging Average,.360,,St. Louis,,,,,,,,,,,,
42,American Association,1887,1,,,,Base on Balls,469,,Baltimore,,,,,,,,,,,,
43,American Association,1887,2,,,,Batting Average,.307,,St. Louis,,,,,,,,,,,,
44,American Association,1887,3,,,,Doubles,261,,St. Louis,,,,,,,,,,,,
45,American Association,1887,4,,,,Hits,"1,550",,St. Louis,,,,,,,,,,,,
46,American Association,1887,5,,,,Home Runs,39,,St. Louis,,,,,,,,,,,,
47,American Association,1887,6,,,,On Base Percentage,.371,,St. Louis,,,,,,,,,,,,
48,American Association,1887,7,,,,Runs,"1,131",,St. Louis,,,,,,,,,,,,
49,American Association,1887,8,,,,Slugging Average,.413,,St. Louis,,,,,,,,,,,,
50,American Association,1888,1,,,,Base on Balls,410,,St. Louis,,,,,,,,,,,,
51,American Association,1888,2,,,,Batting Average,.250,,St. Louis,,,,,,,,,,,,
52,American Association,1888,3,,,,Doubles,183,,Philadelphia,,,,,,,,,,,,
53,American Association,1888,4,,,,Hits,"1,209",,Philadelphia,,,,,,,,,,,,
54,American Association,1888,5,,,,Home Runs,36,,St. Louis,,,,,,,,,,,,
55,American Association,1888,6,,,,On Base Percentage,.316,,St. Louis,,,,,,,,,,,,
56,American Association,1888,7,,,,Runs,827,,Philadelphia,,,,,,,,,,,,
57,American Association,1888,8,,,,Slugging Average,.344,,Philadelphia,,,,,,,,,,,,
58,American Association,1889,1,,,,Base on Balls,550,,Brooklyn,,,,,,,,,,,,
59,American Association,1889,2,,,,Batting Average,.275,,Philadelphia,,,,,,,,,,,,
60,American Association,1889,3,,,,Doubles,239,,Philadelphia,,,,,,,,,,,,
61,American Association,1889,4,,,,Hits,"1,339",,Philadelphia,,,,,,,,,,,,
62,American Association,1889,5,,,,Home Runs,58,,St. Louis,,,,,,,,,,,,
63,American Association,1889,6,,,,On Base Percentage,.354,,Philadelphia,,,,,,,,,,,,
64,American Association,1889,7,,,,Runs,995,,Brooklyn,,,,,,,,,,,,
65,American Association,1889,8,,,,Slugging Average,.382,,Cincinnati,,,,,,,,,,,,
66,American Association,1890,1,,,,Base on Balls,545,,Columbus,,,,,,,,,,,,
67,American Association,1890,2,,,,Batting Average,.279,,Louisville,,,,,,,,,,,,
68,American Association,1890,3,,,,Doubles,181,,Philadelphia,,,,,,,,,,,,
69,American Association,1890,4,,,,Hits,"1,310",,Louisville,,,,,,,,,,,,
70,American Association,1890,5,,,,Home Runs,48,,St. Louis,,,,,,,,,,,,
71,American Association,1890,6,,,,On Base Percentage,.350,,St. Louis,,,,,,,,,,,,
72,American Association,1890,7,,,,Runs,870,,St. Louis,,,,,,,,,,,,
73,American Association,1891,1,,,,Base on Balls,651,,Boston,,,,,,,,,,,,
74,American Association,1891,2,,,,Batting Average,.274,,Boston,,,,,,,,,,,,
75,American Association,1891,3,,,,Doubles,182,,Philadelphia,,,,,,,,,,,,
76,American Association,1891,4,,,,Hits,"1,341",,Boston,,,,,,,,,,,,
77,American Association,1891,5,,,,Home Runs,58,,St. Louis,,,,,,,,,,,,
78,American Association,1891,6,,,,On Base Percentage,.367,,Boston,,,,,,,,,,,,
79,American Association,1891,7,,,,Runs,"1,028",,Boston,,,,,,,,,,,,
80,American League,1901,1,,,,Base on Balls,475,,Chicago,,,,,,,,,,,,
81,American League,1901,2,,,,Batting Average,.294,,Baltimore,,,,,,,,,,,,
82,American League,1901,3,,,,Doubles,239,,Philadelphia,,,,,,,,,,,,
83,American League,1901,4,,,,Hits,"1,409",,Philadelphia,,,,,,,,,,,,
84,American League,1901,5,,,,Home Runs,37,,Boston,,,,,,,,,,,,
85,American League,1901,6,,,,On Base Percentage,.353,,Baltimore,,,,,,,,,,,,
86,American League,1901,7,,,,Runs,819,,Chicago,,,,,,,,,,,,
87,American League,1901,8,,,,Slugging Average,.397,,Baltimore,,,,,,,,,,,,
88,American League,1901,9,,,,Stolen Bases,280,,Chicago,,,,,,,,,,,,
89,American League,1902,1,,,,Base on Balls,417,,Baltimore,,,,,,,,,,,,
90,American League,1902,2,,,,Batting Average,.289,,Cleveland,,,,,,,,,,,,
91,American League,1902,3,,,,Doubles,261,,Washington,,,,,,,,,,,,
92,American League,1902,4,,,,Hits,"1,401",,Cleveland,,,,,,,,,,,,
93,American League,1902,5,,,,Home Runs,47,,Washington,,,,,,,,,,,,
