id,league,year,year_id,Earned Run Average,Statistic,Statistic Value,Team,Total Complete Games,Total Earned Runs,Total Games,Total Hit By Pitch,Total Hits,Total Hits Allowed,Total Home Runs,Total Innings Pitched,Total Loses,Total Runs,Total Sacrifice Hits,Total Save Opportunities,Total Saves,Total Shutouts,Total Strikeouts,Total Walks,Total Wins
1,American Association,1882,1,,Complete Games,77,Cincinnati,,,,,,,,,,,,,,,,,
2,American Association,1882,2,,Complete Games,77,Pittsburgh,,,,,,,,,,,,,,,,,
3,American Association,1882,3,,ERA,1.65,Cincinnati,,,,,,,,,,,,,,,,,
4,American Association,1882,4,,Fewest Hits Allowed,609,Cincinnati,,,,,,,,,,,,,,,,,
5,American Association,1882,5,,Fewest Home Runs Allowed,4,Pittsburgh,,,,,,,,,,,,,,,,,
6,American Association,1882,6,,Fewest Walks Allowed,82,Pittsburgh,,,,,,,,,,,,,,,,,
7,American Association,1882,7,,Saves,1,St. Louis,,,,,,,,,,,,,,,,,
8,American Association,1882,8,,Shutouts,11,Cincinnati,,,,,,,,,,,,,,,,,
9,American Association,1883,1,,Complete Games,79,New York,,,,,,,,,,,,,,,,,
10,American Association,1883,2,,ERA,2.23,St. Louis,,,,,,,,,,,,,,,,,
11,American Association,1883,3,,Fewest Hits Allowed,729,St. Louis,,,,,,,,,,,,,,,,,
12,American Association,1883,4,,Fewest Home Runs Allowed,7,Louisville,,,,,,,,,,,,,,,,,
13,American Association,1883,5,,Fewest Home Runs Allowed,7,St. Louis,,,,,,,,,,,,,,,,,
14,American Association,1883,6,,Fewest Walks Allowed,95,Philadelphia,,,,,,,,,,,,,,,,,
15,American Association,1883,7,,Saves,1,Pittsburgh,,,,,,,,,,,,,,,,,
16,American Association,1883,8,,Saves,1,St. Louis,,,,,,,,,,,,,,,,,
17,American Association,1883,9,,Shutouts,9,St. Louis,,,,,,,,,,,,,,,,,
18,American Association,1884,1,,Complete Games,111,Cincinnati,,,,,,,,,,,,,,,,,
19,American Association,1884,2,,ERA,2.17,Louisville,,,,,,,,,,,,,,,,,
20,American Association,1884,3,,Fewest Hits Allowed,802,New York,,,,,,,,,,,,,,,,,
21,American Association,1884,4,,Fewest Home Runs Allowed,9,Louisville,,,,,,,,,,,,,,,,,
22,American Association,1884,5,,Fewest Walks Allowed,97,Louisville,,,,,,,,,,,,,,,,,
23,American Association,1884,6,,Saves,1,Baltimore,,,,,,,,,,,,,,,,,
24,American Association,1884,7,,Saves,1,Columbus,,,,,,,,,,,,,,,,,
25,American Association,1884,8,,Saves,1,Toledo,,,,,,,,,,,,,,,,,
26,American Association,1884,9,,Shutouts,11,Cincinnati,,,,,,,,,,,,,,,,,
27,American Association,1885,1,,Complete Games,111,St. Louis,,,,,,,,,,,,,,,,,
28,American Association,1885,2,,ERA,2.44,St. Louis,,,,,,,,,,,,,,,,,
29,American Association,1885,3,,Fewest Hits Allowed,879,St. Louis,,,,,,,,,,,,,,,,,
30,American Association,1885,4,,Fewest Home Runs Allowed,11,Philadelphia,,,,,,,,,,,,,,,,,
31,American Association,1885,5,,Fewest Walks Allowed,168,St. Louis,,,,,,,,,,,,,,,,,
32,American Association,1885,6,,Saves,4,Baltimore,,,,,,,,,,,,,,,,,
33,American Association,1885,7,,Shutouts,11,St. Louis,,,,,,,,,,,,,,,,,
34,American Association,1886,1,,Complete Games,138,Brooklyn,,,,,,,,,,,,,,,,,
35,American Association,1886,2,,ERA,2.49,St. Louis,,,,,,,,,,,,,,,,,
36,American Association,1886,3,,Fewest Hits Allowed,"1,087",St. Louis,,,,,,,,,,,,,,,,,
37,American Association,1886,4,,Fewest Home Runs Allowed,10,Pittsburgh,,,,,,,,,,,,,,,,,
38,American Association,1886,5,,Fewest Walks Allowed,299,Pittsburgh,,,,,,,,,,,,,,,,,
39,American Association,1886,6,,Saves,2,Louisville,,,,,,,,,,,,,,,,,
40,American Association,1886,7,,Saves,2,St. Louis,,,,,,,,,,,,,,,,,
41,American Association,1886,8,,Shutouts,15,Pittsburgh,,,,,,,,,,,,,,,,,
42,American Association,1887,1,,Complete Games,133,Louisville,,,,,,,,,,,,,,,,,
43,American Association,1887,2,,ERA,3.58,Cincinnati,,,,,,,,,,,,,,,,,
44,American Association,1887,3,,Fewest Hits Allowed,"1,202",Cincinnati,,,,,,,,,,,,,,,,,
45,American Association,1887,4,,Fewest Home Runs Allowed,16,Louisville,,,,,,,,,,,,,,,,,
46,American Association,1887,5,,Fewest Walks Allowed,323,St. Louis,,,,,,,,,,,,,,,,,
47,American Association,1887,6,,Saves,3,Brooklyn,,,,,,,,,,,,,,,,,
48,American Association,1887,7,,Shutouts,11,Cincinnati,,,,,,,,,,,,,,,,,
49,American Association,1888,1,,Complete Games,138,Brooklyn,,,,,,,,,,,,,,,,,
50,American Association,1888,2,,ERA,2.09,St. Louis,,,,,,,,,,,,,,,,,
51,American Association,1888,3,,Fewest Hits Allowed,939,St. Louis,,,,,,,,,,,,,,,,,
52,American Association,1888,4,,Fewest Home Runs Allowed,14,Philadelphia,,,,,,,,,,,,,,,,,
53,American Association,1888,5,,Fewest Walks Allowed,225,St. Louis,,,,,,,,,,,,,,,,,
54,American Association,1888,6,,Saves,3,Cincinnati,,,,,,,,,,,,,,,,,
55,American Association,1888,7,,Shutouts,13,Philadelphia,,,,,,,,,,,,,,,,,
56,American Association,1889,1,,Complete Games,130,Philadelphia,,,,,,,,,,,,,,,,,
57,American Association,1889,2,,ERA,3.00,St. Louis,,,,,,,,,,,,,,,,,
58,American Association,1889,3,,Fewest Hits Allowed,"1,166",St. Louis,,,,,,,,,,,,,,,,,
59,American Association,1889,4,,Fewest Home Runs Allowed,27,Baltimore,,,,,,,,,,,,,,,,,
60,American Association,1889,5,,Fewest Walks Allowed,400,Brooklyn,,,,,,,,,,,,,,,,,
61,American Association,1889,6,,Saves,8,Cincinnati,,,,,,,,,,,,,,,,,
