id,league,year,year_id,Division,Games Behind,Payroll,Splits,Strike Splits,Team,Total Loses,Total Ties,Total Wins,Winning Percentage
1,American Association,1882,1,,0,,,,Cincinnati Red Stockings,25,,55,.688
2,American Association,1882,2,,11½,,,,Philadelphia Athletics,34,,41,.547
3,American Association,1882,3,,13,,,,Louisville Eclipse,38,,42,.525
4,American Association,1882,4,,15,,,,Pittsburgh Alleghenys,39,,39,.500
5,American Association,1882,5,,18,,,,St. Louis Brown Stockings,43,,37,.463
6,American Association,1883,1,,0,,,,Philadelphia Athletics,32,,66,.673
7,American Association,1883,2,,1,,,,St. Louis Browns,33,,65,.663
8,American Association,1883,3,,5,,,,Cincinnati Red Stockings,37,,61,.622
9,American Association,1883,4,,11,,,,New York Metropolitans,42,,54,.563
10,American Association,1883,5,,13½,,,,Louisville Eclipse,45,,52,.536
11,American Association,1883,6,,33½,,,,Columbus Colts,65,,32,.330
12,American Association,1883,7,,35,,,,Pittsburgh Alleghenys,67,,31,.316
13,American Association,1884,1,,0,,,,New York Metropolitans,32,,75,.701
14,American Association,1884,2,,6½,,,,Columbus Colts,39,,69,.639
15,American Association,1884,3,,7½,,,,Louisville Colonels,40,,68,.630
16,American Association,1884,4,,8,,,,St. Louis Browns,40,,67,.626
17,American Association,1884,5,,8,,,,Cincinnati Red Stockings,41,,68,.624
18,American Association,1884,6,,11½,,,,Baltimore Orioles,43,,63,.594
19,American Association,1884,7,,14,,,,Philadelphia Athletics,46,,61,.570
20,American Association,1884,8,,27½,,,,Toledo Blue Stockings,58,,46,.442
21,American Association,1884,9,,33½,,,,Brooklyn Trolley Dodgers,64,,40,.385
22,American Association,1884,10,,30½,,,,Richmond Virginias,30,,12,.286
23,American Association,1884,11,,45½,,,,Pittsburgh Alleghenys,78,,30,.278
24,American Association,1884,12,,46,,,,Indianapolis Blues,78,,29,.271
25,American Association,1884,13,,41,,,,Washington Nationals,51,,12,.190
26,American Association,1885,1,,0,,,,St. Louis Browns,33,,79,.705
27,American Association,1885,2,,16,,,,Cincinnati Red Stockings,49,,63,.563
28,American Association,1885,3,,22½,,,,Pittsburgh Alleghenys,55,,56,.505
29,American Association,1885,4,,24,,,,Philadelphia Athletics,57,,55,.491
30,American Association,1885,5,,26,,,,Louisville Colonels,59,,53,.473
31,American Association,1885,6,,26,,,,Brooklyn Trolley Dodgers,59,,53,.473
32,American Association,1885,7,,33,,,,New York Metropolitans,64,,44,.407
33,American Association,1885,8,,36½,,,,Baltimore Orioles,68,,41,.376
34,American Association,1886,1,,0,,,,St. Louis Browns,46,,93,.669
35,American Association,1886,2,,12,,,,Pittsburgh Alleghenys,57,,80,.584
36,American Association,1886,3,,16,,,,Brooklyn Trolley Dodgers,61,,76,.555
